"codigoestacion","codigosensor","fechaobservacion","valorobservado","nombreestacion","departamento","municipio","zonahidrografica","latitud","longitud","descripcionsensor","unidadmedida"
"2906500077","0240","2019-08-17T16:20:00.000","0","PALMOR - SIERRA NEVADA - AUT","MAGDALENA","CIÉNAGA","BAJO MAGDALENA","10.77175","-74.019138889","Precipitacion","mm"
"0025025030","0240","2017-08-18T11:20:00.000","0","AYAPEL","CÓRDOBA","AYAPEL","BAJO MAGDALENA- CAUCA -SAN JORGE","8.295","-75.165","Precipitacion","mm"
"0023197690","0240","2013-10-07T07:40:00.000","0","PALOGORDO - AUT","SANTANDER","GIRÓN","MEDIO MAGDALENA","6.969166667","-73.13055556","Precipitacion","mm"
"0024025090","0240","2013-08-02T05:20:00.000","0","MOGOTES - AUT","SANTANDER","MOGOTES","SOGAMOSO","6.47","-72.96888889","Precipitacion","mm"
"0021206280","0240","2019-07-08T21:50:00.000","0","ACAPULCO","CUNDINAMARCA","BOJACÁ","ALTO MAGDALENA","4.653833333","-74.33305556","Precipitacion","mm"
"0055015010","0240","2017-03-21T17:40:00.000","0","PIE DE PATO - AUT","CHOCO","ALTO BAUDÓ (PIE DE PATO)","BAUDÓ - DIRECTOS PACIFICO","5.521083333","-76.97316667","Precipitacion","mm"
"0026065502","0240","2017-11-23T18:35:00.000","1.6","TRINIDAD LA  - AUT","CAUCA","PIENDAMÓ","CAUCA","2.750555556","-76.57916667","Precipitacion","mm"
"0022075050","0240","2017-01-16T21:30:00.000","0","PARAMO DE YERBABUENA  - AUT","TOLIMA","RONCESVALLES","SALDAÑA","4.075805556","-75.70083333","Precipitacion","mm"
"0023017040","0240","2015-10-09T16:10:00.000","0","LA ESPERANZA- GUALÍ","TOLIMA","MARIQUITA","MEDIO MAGDALENA","5.206","-74.914","Precipitacion","mm"
"2120000103","0240","2018-11-11T21:10:00.000","0","CERRO NORTE - AUT","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.733","-74.019","Precipitacion","mm"
"0052025090","0240","2017-12-14T01:30:00.000","0","LA SIERRA - AUT","CAUCA","LA SIERRA","PATÍA","2.193833333","-76.75033333","Precipitacion","mm"
"0023085260","0240","2019-04-21T06:50:00.000","0","LA SELVA - AUT","ANTIOQUIA","RIONEGRO","MEDIO MAGDALENA","6.131916667","-75.41455556","Precipitacion","mm"
"0016035030","0240","2019-03-06T21:30:00.000","0","SARDINATA  - AUT","NORTE DE SANTANDER","SARDINATA","CATATUMBO","8.076666667","-72.80305556","Precipitacion","mm"
"0051025090","0240","2018-11-23T11:10:00.000","0","GRANJA MIRA","NARINO","TUMACO","MIRA","1.55","-78.696","Precipitacion","mm"
"2120000099","0240","2019-07-30T11:58:00.000","0","COLEGIO VEINTIUN ANGELES - AUT","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.749","-74.081","Precipitacion","mm"
"2120000100","0240","2019-01-05T00:47:00.000","0","COLEGIO ALEMANIA SOLIDARIA - AUT","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.652","-74.075","Precipitacion","mm"
"0011159010","0240","2008-10-15T06:10:00.000","0","CAPURGANA - TX GPRS","CHOCÓ","ACANDÍ","ATRATO - DARIÉN","8.616","-77.331","Precipitacion","mm"
"0028025120","0240","2018-07-22T02:00:00.000","0","SERRANIA DEL PERIJA  - AUT","CESAR","AGUSTÍN CODAZZI","CESAR","10.02908333","-73.04619444","Precipitacion","mm"
"0024035370","0240","2016-07-11T16:10:00.000","0","EL ESPINO - AUT","BOYACÁ","EL ESPINO","SOGAMOSO","6.506722222","-72.45266667","Precipitacion","mm"
"0013055040","0240","2009-05-04T02:10:00.000","0","INCODER - AUT","CORDOBA","MONTERÍA","SINÚ","8.746944444","-75.91388889","Precipitacion","mm"
"0026185501","0240","2018-09-01T18:20:00.000","0","SONSON  - AUT","ANTIOQUIA","SONSÓN","CAUCA","5.677719444","-75.34780556","Precipitacion","mm"
"0035085070","0240","2018-06-21T03:20:00.000","0","SANTA MARIA - AUT","BOYACÁ","SANTA MARÍA","META","4.84125","-73.25669444","Precipitacion","mm"
"0021015070","0240","2006-11-04T18:00:00.000","0","LOS GUACHAROS  - AUT","HUILA","PALESTINA","ALTO MAGDALENA","1.675833","-76.106841","Precipitacion","mm"
"0023105070","0240","2018-12-31T14:50:00.000","0","MACEO - AUT","ANTIOQUIA","YOLOMBÓ","MEDIO MAGDALENA","6.571638889","-74.79472222","Precipitacion","mm"
"0035085060","0240","2019-04-14T19:10:00.000","0.3","ZETAQUIRA - AUT","BOYACÁ","ZETAQUIRÁ","META","5.294944444","-73.16994444","Precipitacion","mm"
"0021257120","0240","2006-02-27T07:10:00.000","0","PUENTE NEGRO  - AUT","TOLIMA","VILLAHERMOSA","ALTO MAGDALENA","4.940194444","-75.08980556","Precipitacion","mm"
"0025020600","0240","2017-08-20T12:40:00.000","0","HDA SAJONIA - LA MOJANA TX GPRS/GOES","CÓRDOBA","PUEBLO NUEVO","BAJO MAGDALENA- CAUCA -SAN JORGE","8.49","-75.601","Precipitacion","mm"
"0021115180","0240","2014-11-26T00:30:00.000","0","HACIENDA MANILA - AUT","HUILA","BARAYA","ALTO MAGDALENA","3.133055556","-75.08152778","Precipitacion","mm"
"0021206990","0240","2015-09-14T20:30:00.000","0","TIBAITATA - AUT","CUNDINAMARCA","MOSQUERA","ALTO MAGDALENA","4.691416667","-74.209","Precipitacion","mm"
"0021206990","0240","2006-12-27T03:20:00.000","0","TIBAITATA - AUT","CUNDINAMARCA","MOSQUERA","ALTO MAGDALENA","4.691416667","-74.209","Precipitacion","mm"
"0053045040","0240","2018-05-06T21:40:00.000","0","AEROPUERTO GUAPI - AUT","CAUCA","GUAPI","TAPAJE - DAGUA - DIRECTOS","2.574416667","-77.89475","Precipitacion","mm"
"0021255160","0240","2006-03-07T21:20:00.000","0.1","HACIENDA PAJONALES","TOLIMA","AMBALEMA","ALTO MAGDALENA","4.760722222","-74.83425","Precipitacion","mm"
"0021055070","0240","2016-01-23T06:20:00.000","0","INZA - AUT","CAUCA","INZÁ","ALTO MAGDALENA","2.548194444","-76.06394444","Precipitacion","mm"
"0023125160","0240","2010-02-08T07:20:00.000","0","SAN PABLO DE BORBUR  - AUT","BOYACÁ","SAN PABLO DE BORBUR","MEDIO MAGDALENA","5.647027778","-74.07130556","Precipitacion","mm"
"0021137010","0240","2014-05-05T03:20:00.000","0","PURIFICACION","TOLIMA","PURIFICACIÓN","ALTO MAGDALENA","3.85","-74.936","Precipitacion","mm"
"0021206990","0240","2006-07-10T22:50:00.000","0","TIBAITATA - AUT","CUNDINAMARCA","MOSQUERA","ALTO MAGDALENA","4.691416667","-74.209","Precipitacion","mm"
"0021206990","0240","2013-07-23T02:00:00.000","0","TIBAITATA - AUT","CUNDINAMARCA","MOSQUERA","ALTO MAGDALENA","4.691416667","-74.209","Precipitacion","mm"
"0016057030","0240","2010-03-03T01:40:00.000","0","LA CABANA - AUT","NORTE DE SANTANDER","OCAÑA","CATATUMBO","8.197805556","-73.31825","Precipitacion","mm"
"0023197690","0240","2011-04-06T21:20:00.000","0","PALOGORDO - AUT","SANTANDER","GIRÓN","MEDIO MAGDALENA","6.969166667","-73.13055556","Precipitacion","mm"
"0015065180","0240","2017-06-26T05:40:00.000","0","APTO ALMIRANTE PADILLA TX GPRS","LA GUAJIRA","RIOHACHA","CARIBE - GUAJIRA","11.53","-72.918","Precipitacion","mm"
"0023050420","0240","2008-10-05T17:10:00.000","0","ARGELIA ANTIOQUIA - AUT","ANTIOQUIA","ARGELIA","MEDIO MAGDALENA","5.731138889","-75.13852778","Precipitacion","mm"
"0015085050","0240","2018-09-16T06:30:00.000","0","TOROMANA - AUT","LA GUAJIRA","URIBIA","CARIBE - GUAJIRA","12.08352778","-71.21094444","Precipitacion","mm"
"0026015050","0240","2019-06-14T05:40:00.000","0","PALETARA  - AUT","CAUCA","PURACÉ (COCONUCO)","CAUCA","2.191722222","-76.48202778","Precipitacion","mm"
"0052045080","0240","2019-08-14T01:40:00.000","0.1","UNIVERSIDAD DE NARINO  - AUT","NARIÑO","PASTO","PATÍA","1.225111111","-77.28338889","Precipitacion","mm"
"0016025501","0240","2017-06-09T23:05:00.000","0.1","CUCUTILLA  - AUT","NORTE DE SANTANDER","CUCUTILLA","CATATUMBO","7.519455556","-72.79790278","Precipitacion","mm"
"0021206960","0240","2017-10-07T09:00:00.000","0","IDEAM BOGOTA  - AUT","BOGOTA","BOGOTA, D.C","ALTO MAGDALENA","4.6","-74.06666667","Precipitacion","mm"
"0021202170","0240","2016-07-13T16:10:00.000","0","SIERRA MORENA - FOPAE","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.567","-74.167","Precipitacion","mm"
"0021202180","0240","2011-11-21T13:30:00.000","0","QUIBA - FOPAE","BOGOTA D.C.","BOGOTA, D.C","ALTO MAGDALENA","4.543","-74.156","Precipitacion","mm"
